iter	Passed	Remaining
0	66	13194
1	70	6981
2	74	4915
3	78	3844
4	81	3193
5	85	2756
6	87	2410
7	89	2158
8	94	1995
9	97	1847
10	100	1723
11	102	1613
12	106	1526
13	109	1449
14	112	1391
15	116	1339
16	119	1285
17	122	1240
18	125	1192
19	128	1153
20	130	1110
21	133	1076
22	137	1058
23	141	1035
24	144	1014
25	148	992
26	151	972
27	155	955
28	158	934
29	161	914
30	163	893
31	167	878
32	170	862
33	173	848
34	177	834
35	180	820
36	183	809
37	187	798
38	190	788
39	194	776
40	198	768
41	201	756
42	204	745
43	207	736
44	211	729
45	216	723
46	219	713
47	222	704
48	226	698
49	230	690
50	233	681
51	236	671
52	239	664
53	243	657
54	246	650
55	249	640
56	251	631
57	254	624
58	258	617
59	261	609
60	264	603
61	268	596
62	270	588
63	273	581
64	277	575
65	280	569
66	283	562
67	287	558
68	290	551
69	294	546
70	297	541
71	301	536
72	304	529
73	308	525
74	311	518
75	314	512
76	316	506
77	320	501
78	323	495
79	326	489
80	329	484
81	333	479
82	336	474
83	341	471
84	344	465
85	347	460
86	350	455
87	353	449
88	357	446
89	361	442
90	365	437
91	369	433
92	372	428
93	376	424
94	379	418
95	382	414
96	385	409
97	387	403
98	392	400
99	396	396
100	399	391
101	402	386
102	404	381
103	407	375
104	409	370
105	413	366
106	416	361
107	420	357
108	423	353
109	425	348
110	429	344
111	432	339
112	436	335
113	439	331
114	442	327
115	446	323
116	448	318
117	451	313
118	454	309
119	457	304
120	460	300
121	463	296
122	466	292
123	470	288
124	473	284
125	476	279
126	480	275
127	484	272
128	487	268
129	490	264
130	494	260
131	497	256
132	500	252
133	504	248
134	507	244
135	510	240
136	515	236
137	518	233
138	522	229
139	525	225
140	528	220
141	530	216
142	533	212
143	536	208
144	539	204
145	542	200
146	545	196
147	548	192
148	552	189
149	555	185
150	558	181
151	561	177
152	564	173
153	568	169
154	571	165
155	574	162
156	578	158
157	581	154
158	584	150
159	587	146
160	590	142
161	593	139
162	597	135
163	600	131
164	603	127
165	604	123
166	607	120
167	611	116
168	614	112
169	618	109
170	621	105
171	624	101
172	627	97
173	630	94
174	634	90
175	639	87
176	642	83
177	645	79
178	648	76
179	651	72
180	654	68
181	656	64
182	660	61
183	662	57
184	666	54
185	670	50
186	673	46
187	677	43
188	681	39
189	683	35
190	687	32
191	691	28
192	694	25
